OBJECTID,CA_NAME,SUBWSHD_NAME,GRADE_FC_OVERALL,GRADE_FC_COVER,GRADE_FC_INTERIOR,GRADE_FC_RIPARIAN,GRADE_SWQ_OVERALL,GRADE_SWQ_BENTHIC,GRADE_SWQ_ECOLI,GRADE_SWQ_PHOSPH,WRC_URL,Indicators_SW,Chloride_SW_75th_GTET_120,Chloride_SW_75th_LT_120,GlobalID,ShapeSTArea,ShapeSTLength
1,Conservation Halton,Joshua's Creek,D,D,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{F90E59B1-BD6E-48C8-89F8-84E5EFA1CC9D},21626799.1391749,47190.741292523
2,Conservation Halton,Lower Wedgewood Creek,D,D,F,D,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{BA62D87D-6877-4AB2-9545-F5CBE07281A7},5493632.69947401,24559.5047844652
3,Conservation Halton,Main Branch,D,C,F,C,C,C,Insufficient data,C,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",171,,{D4DBBCC8-6D5E-4D1F-85FB-A78970A46634},24631726.1844283,49018.6305375859
4,Conservation Halton,Lowville Creek,C,B,F,C,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{E17BF37C-0281-44D9-AFE6-002920F6AB80},10073849.99975,28219.9999000792
5,Conservation Halton,McCraney Creek,F,F,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{5719C05A-D02C-461E-84FE-B406B95554DB},12219310.603102,39377.9179040914
6,Conservation Halton,Strabane Creek,A,A,A,A,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{E79A45A2-D6C1-4D72-A5CE-448B89ADC084},13511375.2180491,27686.2073637131
7,Conservation Halton,Sheldon Creek,D,D,F,D,D,D,Insufficient data,D,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",276,,{DCE54E4B-D2A0-445E-81CB-7C7A09278010},17671626.3619758,45701.982471691
8,Conservation Halton,Upper Hager Creek,D,D,F,C,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{51151C93-3F1B-49F2-91E6-E4A489AAFFF7},4232825.001,21110.0004000534
9,Conservation Halton,Roseland Creek,F,F,F,F,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{2A3B2AA5-40FA-4D99-8809-4CA16F5982FA},9406053.88868015,40304.9150055709
10,Conservation Halton,Lower Rambo Creek,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{04F7B71F-94F9-4ABC-8714-0B536C515484},3423889.59179549,13408.2397793397
11,Conservation Halton,224,B,A,D,B,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{9FD38599-44AD-4005-89F6-89C9EC6CD23D},5681325.00474999,18099.9993000495
12,Conservation Halton,East Side,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{CFCFE738-1507-4130-8D05-5CBFDBC770E3},685348.69998647,7361.66853895448
13,Conservation Halton,230,C,A,F,C,D,D,Insufficient data,D,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",,119,{6DA1BB1B-1F1E-4BC1-9818-22F20B56CE68},1718395.44327801,11580.6182737189
14,Conservation Halton,228,B,A,D,B,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{02745B42-F5E4-4511-9F17-002EE29E10D3},8069949.91325002,20549.9904002279
15,Conservation Halton,Upper Rambo Creek,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{808CBA0A-0855-4E23-974F-28D19BF1FA9F},6290374.99775,20430.001200052
16,Conservation Halton,Tuck Creek,D,D,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{42AE7CE5-61C4-4621-880B-22AB3A127C4E},10446371.2676602,43764.6944910939
17,Conservation Halton,Willoughby Creek,B,B,C,B,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{FB565987-F916-4243-BA6F-BF01C7190783},12196799.999,30540.0008000708
18,Conservation Halton,Flamboro Creek,A,A,B,A,A,A,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{BD24383D-C420-42BF-B8CA-FAA22595CC39},9424575.009,23590.0007000644
19,Conservation Halton,Morrison-Wedgewood Diversion,D,D,F,D,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{0F9AC651-8C90-4936-8B71-3ECE86F27582},16046274.99275,29239.9997000664
20,Conservation Halton,Kilbride Creek,A,A,B,A,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{4F803F97-D98C-4CB5-ABE1-30DD8549B6BC},41231100.01625,69100.0019001605
21,Conservation Halton,Appleby Creek,D,D,F,D,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{9786E9E0-DDF1-4853-8A7A-898BAEEE1962},14083985.4025242,51376.9857990952
22,Conservation Halton,215,B,B,C,B,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{61DAF4AA-F5FC-4B47-80EC-343B68457152},14644224.99675,38359.9990000787
23,Conservation Halton,Limestone Creek,A,A,A,B,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{F741CE15-179C-48D1-BA19-441E0C0E30BD},36595874.9945,54959.9995001519
24,Conservation Halton,Mid East Branch,D,D,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{8893A067-C2D9-4260-A82A-F45E05D90D7C},41651475.01225,47590.000000126
25,Conservation Halton,Mountsberg Creek,B,A,C,A,B,B,Insufficient data,C,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",,46,{84180149-9A6E-42EA-88BC-969BA4A91B47},55077399.4743321,96679.7462647986
26,Conservation Halton,East Branch Lisgar,F,D,F,F,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{91DA340A-F6CF-4DD4-B92B-2DF7C26B75D5},25878147.486823,54599.7086368188
27,Conservation Halton,Middle Branch,B,B,B,B,C,D,Insufficient data,C,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",,51.5,{2E1B113B-A8D1-4A29-9A44-D13414C64455},53869573.9823449,84539.9351010417
28,Conservation Halton,Mount Nemo Creek,B,A,C,B,B,B,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{F34E330E-F3D6-4889-9355-7A7527BD38A2},4512049.996,16630.001100048
29,Conservation Halton,Lower Morrison Creek,F,F,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{CF231BE3-72BA-49BB-9C8B-181FAE9A3196},5918295.27000851,22687.6260411627
30,Conservation Halton,Lower Middle Trib,F,D,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{7D0E284C-12F0-44C8-A830-25655AE3CB92},7178699.994,27279.9997000717
31,Conservation Halton,218,C,D,F,A,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{624E7E68-2B48-4411-A218-7F98C219A6F1},1683750.04325008,10670.0015000959
32,Conservation Halton,210,C,C,D,C,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{C26E11BF-1AA8-4636-A737-F4E1EFDEE900},8023325.00849998,25510.0007000574
33,Conservation Halton,220,D,C,F,C,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{F5EA8EBC-0DBE-4D5B-A751-4F8530BAC5AF},8188600.002,28369.9987000651
34,Conservation Halton,West Branch,D,D,F,D,C,D,Insufficient data,B,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",174,,{046A6C89-1E5A-473D-9BC8-20C7F803DC37},57213474.9855,71249.9989001671
35,Conservation Halton,East Branch,D,D,F,D,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{6907C69C-B14B-4BE4-9EE8-CC84385FD3DB},29638423.3693129,68609.9002553244
36,Conservation Halton,Lower Middle Branch,D,D,F,D,C,D,Insufficient data,C,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",130,,{6A3661FD-01B0-4F53-89EA-A49CB453CDD5},42319975.00175,56259.998800143
37,Conservation Halton,222,A,A,B,A,C,C,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{19FF1E93-DAB8-4CF3-98DC-B8CF7B7D68C9},2518450.09325003,19980.0055001595
38,Conservation Halton,407 Diversion,D,C,F,C,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{446C948C-A851-4E6B-9ED7-BA8BEB30F3A2},5228625.0035,16600.0001000286
39,Conservation Halton,232 (Alternate),D,C,F,C,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{3CBF04A0-01EF-4B5D-917A-72EAFE84D8D0},2475349.18414429,16595.619663719
40,Conservation Halton,Ford Plant Special Area,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{6D90284F-D115-4FEA-ADAA-D10ACE6FFBC6},547169.76411064,4146.23018571178
41,Conservation Halton,Indian Creek (Bronte),D,D,F,D,D,D,Insufficient data,D,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",,111,{051FFB31-484B-4578-8323-8B6F5D67E8F2},40805424.99925,52540.0011001502
42,Conservation Halton,Upper West Branch,A,A,A,A,B,C,Insufficient data,A,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",156,,{FAB26BC0-7873-44CD-A1A6-C6F9733956F2},72874874.4352579,82409.9544006224
43,Conservation Halton,214,D,C,F,C,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{EB02D4A6-2DA7-4E4F-A13A-48B6E1CF6DE1},8071025.02025068,33609.9881005514
44,Conservation Halton,Lower Hager Creek,F,F,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{5CF309F3-88CD-4997-91C7-068098B7669E},1820768.44258685,8993.74322514029
45,Conservation Halton,232,B,A,C,B,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{9BE4C9C9-3C7B-455A-B903-BBA8FE3E489A},6278861.6723174,18426.918977959
46,Conservation Halton,Fourteen Mile Creek,D,D,F,D,D,D,Insufficient data,D,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",304,,{3F68B090-1BE7-458B-838A-E56F23C732C0},34780036.3308424,56042.222403016
47,Conservation Halton,Shoreacres Creek,D,D,F,C,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{D4B64DB3-CD1F-40BC-B61E-CC4816DA3149},14006185.1648854,46287.4476123695
48,Conservation Halton,Indian Creek,D,C,F,D,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{DD695E28-8711-4000-B935-63F2095C43D6},6066685.07660782,26780.7968393964
49,Conservation Halton,Falcon Creek,D,C,F,C,F,F,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{D4F8F929-B09F-4BD0-BED7-1D5AC9DCDF82},5419404.22228517,27004.8537829955
50,Conservation Halton,West Side,F,F,F,D,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{07235604-2230-4BF4-B081-D4D91D1C767B},275917.16123285,6405.72801150069
51,Conservation Halton,204,C,B,D,B,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{DB6135BF-3351-4B2E-846F-89A53884F331},6656369.02209541,17925.0402719826
52,Conservation Halton,Upper Main Branch,C,B,D,B,B,B,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{C25F8430-61CE-4A04-8CF7-F357A00B8220},52719252.2750551,96965.8390768792
53,Conservation Halton,Lower Main Branch,C,B,D,C,C,C,Insufficient data,D,https://www.conservationhalton.ca/ecology/,"Benthic, Phosphorus",,77,{99D6F2A7-CCA2-4060-82E5-138C1BF1C060},35339905.1110714,117410.702910417
56,Conservation Halton,201,B,B,C,B,D,D,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,Benthic,,,{A5AEE5F4-5172-41FB-8EEE-8F2200C48968},22729374.330876,35105.2245831433
57,Conservation Halton,West Aldershot Watershed,D,D,F,D,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{6880AF08-48D4-4BAC-82AB-9628609C7D2B},4371792.69193781,18897.5801976734
58,Conservation Halton,Burlington Heights,D,B,F,F,Insufficient data,Insufficient data,Insufficient data,Insufficient data,https://www.conservationhalton.ca/ecology/,,,,{AB5F7FC1-198B-4F9C-925C-D671538E42BF},174462.48966584,3325.4841561176
